NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sponsor,Collaborators,Study Type,Study Design,Start Date
NCT00428792,Safety and Efficacy of Methylphenidate in Children With Attention-deficit Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT00428792,COMPLETED,This study evaluated the safety and clinical effect of treatment with methylphenidate under different breakfast conditions (minimal breakfast versus standard continental breakfast) in children with Attention-Deficit Hyperactivity Disorder (ADHD).,YES,Attention Deficit Hyperactivity Disorder,DRUG: Methylphenidate 20 mg long-acting capsules,Novartis,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2007-04
NCT00717392,Evaluation of the Efficacy of Hippotherapy for Children With Developmental Disorders,https://clinicaltrials.gov/study/NCT00717392,COMPLETED,"Hippotherapy is every program of horseback riding meant to treat people with physiological, mental, social, cognitive or behavioral problems. The purpose of the current research is to evaluate the efficacy of hippotherapy for children with developmental disabilities. The hypothesis is that children with developmental disabilities who are treated with hippotherapy will show better outcomes than children with the same problems who are not treated with hippotherapy.",NO,Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder,,Sheba Medical Center,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-09
NCT06299189,A Therapist Guided Internet-delivered Treatment for Adults With ADHD (Attention Deficit / Hyperactivity Disorder) - an Open Effectiveness Trial in Routine Care,https://clinicaltrials.gov/study/NCT06299189,RECRUITING,"The primary objective of this study is to explore and evaluate the use and utility of a guided Internet-delivered psychological treatment for adults with ADHD with a combined focus on:

i) Evaluating the impact of potential predictors to treatment adherence, treatment response, treatment use and utilty. ii) Evaluating the feasibility, clinical benefits and implementation process of the treatment in routine outpatient care. iii) Evaluate the cost-effectiveness of the treatment program.",NO,"ADHD|ADHD - Combined Type|ADHD Predominantly Inattentive Type|ADHD, Predominantly Hyperactive - Impulsive",BEHAVIORAL: MinADHD,Haukeland University Hospital,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-01-01
NCT06305429,Encouraging Positive Parenting Habits,https://clinicaltrials.gov/study/NCT06305429,NOT_YET_RECRUITING,"This study evaluates the feasibility and preliminary impacts of a new parenting program consisting of a series of educational videos, automatically delivered via a popular texting platform. The program content for the feasibility study is focused on teaching parents strategies to better manage one of the commonly reported challenges that children face, a transition to a non-preferred activity. Parents with young children experiencing behavior difficulties with daily transition routines are invited to participate in the study.",NO,ADHD,BEHAVIORAL: HabitE (effective parenting habit) program (in Brazilian Portuguese),D'Or Institute for Research and Education,Okinawa Institute of Science and Technology Graduate University,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-06
NCT02317692,ADHD Treatment for Latino Families,https://clinicaltrials.gov/study/NCT02317692,COMPLETED,"The current pilot study aims to close the existing gap in our knowledge about effective psychosocial treatments for Latino families by providing preliminary data regarding the acceptability and efficacy of a culturally-modified ADHD treatment and possible moderators that will support a future R01. Specifically, the current pilot study is the first step in a larger program of research aimed at definitively determining if culturally-modified ADHD treatment outperforms standard treatment when examining engagement and acceptability outcomes, as well as symptomatology and parental functioning, and if so, which treatment modifications are necessary and for whom. The following study aims will be examined.

1. Aim 1 is to explore if the culturally-modified treatment results in better engagement and acceptability outcomes (i.e., parental attendance, retention, engagement, and satisfaction) than standard treatment and to determine the strength of these effects.
2. Aim 2 is to explore if the culturally-modified treatment results in improvements in ADHD symptomatology, as well as parental functioning (i.e., parenting stress and efficacy), to explore if the modified treatment results in similar or greater improvements than standard treatment, and to determine the strength of these effects.
3. Aim 3 is to explore possible moderators (i.e., socioeconomic status (SES) and behavioral and cognitive acculturation) that may explain the relationship between treatment type (i.e., standard versus culturally-modified) and outcomes and to determine the strength of these interactions.",YES,ADHD,BEHAVIORAL: Parent training,Marquette University,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2015-01
NCT00008892,Brain Imaging in Children With AD/HD,https://clinicaltrials.gov/study/NCT00008892,COMPLETED,"The purpose of this study is to use brain imaging technology to study the connections between brain regions in children with attention deficit hyperactivity disorder (AD/HD), and comparing them to children without AD/HD.

This study will build upon previous brain imaging studies of healthy volunteers and children who have AD/HD. This study will use diffusion tensor magnetic resonance imaging (DT-MRI) to visualize and measure certain parts of the brains of identical twin pairs in which one twin has AD/HD, combined type.

Participants in this study will be screened with questionnaires and interviews, psychometric testing, and a physical examination. Participants' medical and educational records may be reviewed. Participants will undergo an MRI scan of the brain. Prior to the MRI, participants will have a training session in a simulated MRI scanner to learn how to lie still during MRI scanning. Participants may be asked to return for a follow-up scan in about 2 years.",NO,Attention Deficit Disorder With Hyperactivity|Healthy,,National Institute of Mental Health (NIMH),,OBSERVATIONAL,Observational Model: |Time Perspective: p,2001-01-12
NCT00631280,Does Active Parent Involvement in Deliberation and Choice Improve Medication Persistence for Their Child With ADHD,https://clinicaltrials.gov/study/NCT00631280,COMPLETED,The purpose of the study is to determine whether active parent involvement in deliberation and choice improves subsequent medication persistence for their child with ADHD.,NO,Attention-Deficit/Hyperactivity Disorder (ADHD),BEHAVIORAL: Choice|BEHAVIORAL: Recommendation,"Children's Hospital Medical Center, Cincinnati",National Institute of Mental Health (NIMH),INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2007-09
NCT04839562,A Controlled Study of Solriamfetol for Attention Deficit Hyperactivity Disorder (ADHD) in Adults,https://clinicaltrials.gov/study/NCT04839562,COMPLETED,"A double-blind, placebo controlled study of solriamfetol for adults age 18 to 65 with diagnosis of Attention Deficit Hyperactivity Disorder.",YES,Attention Deficit Hyperactivity Disorder,DRUG: Solriamfetol 75 MG|DRUG: Solriamfetol 150 MG|OTHER: Placebo,Massachusetts General Hospital,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-08-06
NCT00418262,Open-Label Study of the Long Term Tolerability and Safety of Atomoxetine in Children With FASD and ADD/ADHD,https://clinicaltrials.gov/study/NCT00418262,COMPLETED,Determine if atomoxetine is safe and well tolerated by children with fetal alcohol syndrome.,YES,Fetal Alcohol Syndrome|Attention Deficit Hyperactivity Disorder (ADHD),DRUG: Atomoxetine,University of Oklahoma,Mark L. Wolraich,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2005-08
NCT01472991,Safety & Efficacy of TC-5619 in Adults With Inattentive-predominant Attention Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT01472991,COMPLETED,Study is to assess if TC-5619 improves symptoms for adults diagnosed with the inattentive-predominant subtype of ADHD over a 4-week treatment period.,NO,Attention Deficit Hyperactivity Disorder,DRUG: TC-5619-238 5mg|DRUG: TC-5619-238 25mg|DRUG: Placebo,Targacept Inc.,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2011-11
NCT01733680,Amiloride Hydrochloride as an Effective Treatment for ADHD,https://clinicaltrials.gov/study/NCT01733680,TERMINATED,"The investigators are proposing to test a medication derived from our prior studies of the gene SLC9A9. This one gene makes NHE proteins that control how we learn and remember items, which is impaired in ADHD and may cause an inability to plan, prioritize, self-monitor,inhibit, initiate, self-correct, or control one's behavior. The investigators now propose to investigate the therapeutic utility of an NHE inhibitor, amiloride hydrochloride, for the treatment of attention deficit hyperactivity disorder (ADHD) in medication-naïve adults with ADHD.",YES,ADHD,DRUG: amiloride|BEHAVIORAL: Behavioral,State University of New York - Upstate Medical University,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2012-09
NCT06303791,Digital-based Psychosocial Intervention for Parents of Children With Neurodevelopmental Disorders,https://clinicaltrials.gov/study/NCT06303791,ACTIVE_NOT_RECRUITING,"The goal of this clinical trial is to implement a structured psychosocial intervention program with digital support (randomized and with a control group) that will be conducted virtually and synchronously to families of children with autism spectrum disorder (ASD) and families of children with Attention Deficit with hyperactivity Disorder (ADHD). The main questions it aims to answer are:

1. Will the program impact on different variables in the parents' domain (parental stress variables, quality of life/social support and coping skills),
2. Will the program impact on different variables in the children's domain (daily life functioning, social behavioral variables, and executive functioning).
3. Treatment outcomes will be assessed at pre-test, post-test, and 6-month follow-up assessment across intervention and control groups using a battery of measures of parenting stress, coping skills, social support, and children's dysfunctional outcomes

Parents and teachers will complete different questionnaires to see if there are improvements on parent's and children outcomes.

Researchers will compare intervention group and control group to see if there are improvements on parent's domains (parenting stress, coping skills, social support) and children's dysfunctional outcomes (daily life functioning, social behavioral variables, and executive functioning).",NO,Autism Spectrum Disorder|Attention Deficit Hyper Activity,BEHAVIORAL: Digital Psychosocial intervention,University of Valencia,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-09-07
NCT01853280,L-methylfolate Supplementation to OROS-Methylphenidate Pharmacotherapy in ADHD Adults,https://clinicaltrials.gov/study/NCT01853280,COMPLETED,"This pilot study seeks to evaluate initial evidence for the effect of L-methylfolate supplementation to OROS-Methylphenidate pharmacotherapy on ADHD symptoms and associated features in adults with ADHD, as well as tolerability of this supplementation. The investigators will conduct a 12-week double-blind randomized placebo-controlled trial with L-methylfolate supplementing open-label OROS-Methylphenidate (OROS-MPH). The investigators propose to examine 40 adult (ages 18-55) subjects satisfying the DSM-IV diagnostic criteria for ADHD.",YES,Attention Deficit Hyperactivity Disorder,DRUG: L-methylfolate|DRUG: OROS-Methylphenidate|DRUG: Placebo,Massachusetts General Hospital,"Pamlab, Inc.",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2014-05
NCT00302380,An Open Label Phase I/II Study of the Safety and Dopamine Transporter Binding Properties of C-11 Altropane in Normal Human Subjects and in Subjects With ADHD,https://clinicaltrials.gov/study/NCT00302380,COMPLETED,The primary objective of this study is to evaluate the Binding Potential in subjects with ADHD and adults without ADHD: the intent being to demonstrate that C-11 Altropane PET can be used to differentiate adults with ADHD from healthy control subjects.,NO,Attention Deficit Hyperactivity Disorder,RADIATION: PET imaging using C-11 altropane as the ligand.,Massachusetts General Hospital,National Institute of Mental Health (NIMH),OBSERVATIONAL,Observational Model: |Time Perspective: p,2000-10
NCT03605680,"A Trial Evaluating the Efficacy, Safety, & Tolerability of Centanafadine Sustained-release Tablets in Adults With Attention-deficit/Hyperactivity Disorder",https://clinicaltrials.gov/study/NCT03605680,COMPLETED,"This study evaluates the efficacy, safety, and tolerability of centanafadine sustained-release tablets in adults with attention-deficit/hyperactivity disorder (ADHD). Participants will either receive a twice-daily dose of centanafadine sustained-release tablets, or twice-daily placebo.",YES,Attention Deficit Disorder|Attention Deficit Hyperactivity Disorder,DRUG: Centanafadine SR|OTHER: Placebo|DRUG: Centanafadine SR,"Otsuka Pharmaceutical Development & Commercialization, Inc.",,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2019-01-16
NCT00254462,Atomoxetine for Treating Attention Deficit Hyperactivity Disorder in Young Children,https://clinicaltrials.gov/study/NCT00254462,COMPLETED,This study will evaluate the effectiveness of atomoxetine in reducing the symptoms of attention deficit hyperactivity disorder (ADHD) in young children.,YES,Attention Deficit Disorder With Hyperactivity,DRUG: Atomoxetine|DRUG: Placebo|BEHAVIORAL: Parent Training,University of Nebraska,National Institute of Mental Health (NIMH),INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2005-10-01
NCT00183391,Stimulant Versus Nonstimulant Medication for Attention Deficit Hyperactivity Disorder in Children,https://clinicaltrials.gov/study/NCT00183391,COMPLETED,This study will determine the effectiveness of stimulant and nonstimulant medication in treating the symptoms of attention deficit hyperactivity disorder (ADHD) in children and adolescents.,YES,Attention Deficit Disorder With Hyperactivity,DRUG: Atomoxetine|DRUG: Methylphenidate,Icahn School of Medicine at Mount Sinai,National Institute of Mental Health (NIMH),INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2005-07
NCT00683462,An Exploratory Trial of AZD3480 (TC-1734) for the Treatment of Adult Attention-Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT00683462,COMPLETED,"A 3-way cross-over trial of two weeks of treatment with three drug conditions. AZD3480 will be given in doses of (A) 5mg/day, (B) 50 mg/day and (C) placebo to 24 non-smoking adults with DSM-IV confirmed ADHD. Three week washout between each treatment period. CYP2D6 genotyping will be completed at screening and slow metabolisers will be excluded from participation in this study. Cognitive, ADHD symptom, safety and pharmacokinetic (PK) assessments will be made during each treatment period. Safety and tolerability assessments will be a major component of the trial and all serious adverse events (SAE) will be immediately (within 24 hours) reported to both Targacept and to AstraZenca.",NO,ADHD,DRUG: Placebo|DRUG: AZD3480|DRUG: AZD3480,AstraZeneca,Targacept Inc.,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2008-05
NCT02271880,Improving Medication Adherence in ADHD Adolescents,https://clinicaltrials.gov/study/NCT02271880,TERMINATED,Investigates whether a family-based intervention for adolescents with Attention Deficit Hyperactivity Disorder (ADHD) will improve adherence to prescribed medication regimen in adolescents with history of medication nonadherence.,YES,ADHD,OTHER: Medication as usual|OTHER: STAR,Florida International University,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-09
NCT02720562,Addressing Motion and Confounds Issues in Resting fMRI- Application of Multi-echo EPI Scanning,https://clinicaltrials.gov/study/NCT02720562,COMPLETED,"Resting state functional MRI is widely used for studying brain functional networks. However, in-scanner head movement and other non-neuronal noise can disproportionately bias connectivity estimates, despite various preprocessing efforts. To address these issues, the technique combining data acquisition with multiecho (ME) echo planar imaging and analysis with spatial independent component analysis (ICA), called ME-ICA, has been develop to distinguish BOLD (neuronal) and non-BOLD (artifactual) components based on linear echo-time dependence of signals, and has been demonstrated to successfully remove non-neuronal confounds. Nonetheless, such research approach has never been applied in psychiatric populations. The study aims to fill in the gap as shown in the following.",NO,Attention-deficit/Hyperactivity Disorder,,National Taiwan University Hospital,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2015-01
NCT04219280,Evaluating Treatment of ADHD in Children With Down Syndrome,https://clinicaltrials.gov/study/NCT04219280,RECRUITING,"Children with Down syndrome (DS) have a 3-5 time greater prevalence of Attention Deficit Hyperactivity Disorder (ADHD) than typically developing (TD) children. Despite this higher risk of ADHD, rates of stimulant medication treatment are disproportionately low in children with DS+ADHD, even though stimulants are the most efficacious ADHD treatment and are recommended by consensus guidelines for use in children with intellectual disability and ADHD.

The investigators propose the first randomized clinical trial (RCT) of stimulant medication in children with DS+ADHD. This RCT may provide evidence regarding the short- and long-term safety and efficacy of stimulant use in children with DS+ADHD, both with and without CHD. All children enrolled in the study will complete a comprehensive assessment battery evaluating ADHD diagnostic criteria, as well as behavioral, cognitive, academic, and functional impairments.",NO,Down Syndrome|ADHD,DRUG: Quillivant XR|DRUG: Placebo,"Children's Hospital Medical Center, Cincinnati","University of California, Davis",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-10-02
NCT02477280,"Effects of Expectation, Medication and Placebo on Objective and Self-rated Performance",https://clinicaltrials.gov/study/NCT02477280,COMPLETED,"Aim: The purpose of the study is to examine the effects of medication, placebo and expectation on objective and self-rated performance of ADHD core signs during the Quantified Behavior Test in patients with untreated ADHD and substance Use Disorders.

Subjects: Participants are 40 consecutive patients remitted to a neuropsychiatric investigation at the Dependence Clinic Västmanland, Västerås, Sweden.

Method: The study is a double-blind, randomized, placebo-controlled, cross-over study. The study is taken place during four hours on two investigating days, separated by a 4 days wash-out period.

All patients participate on two occasions: In one session they receive the Methylphenidate (MPH) condition, and in the other session they receive the placebo condition. MPH and placebo conditions are counterbalanced across subjects such that half of the participants receive MPH first, and half receive placebo first. Neither the patient nor the research assistant is aware when the participant receive the MPH condition or the placebo condition.

On each investigating day the participant accomplish Questionnaires (Visual Analogical Scales) concerning; (a) expectation, (b) self-rated performance, (c) exhausting exercise, (d) perceived help from the pill and (e) self-rated symptoms. In addition the participant completed A Quick Test of Cognitive Speed (AQT) and two separate Quantified Behavior Test Plus (QbTest) without medication vs MPH/Placebo. QbTest aims to provide objective information regarding core-symptoms of ADHD; hyperactivity on the basis of motor-activity measured with the camera, and inattention and impulsivity on basis of the CPT-test.",NO,Attention Deficit Hyperactivity Disorder|Substance Use Disorder,DRUG: Methylphenidate|DRUG: Placebo,Region Västmanland,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2016-09
NCT02897362,Sleep Dysfunction and Neurocognitive Outcomes in Adolescent ADHD,https://clinicaltrials.gov/study/NCT02897362,COMPLETED,This study seeks to characterize sleep physiology in adolescents with and without Attention deficit hyperactivity disorder (ADHD) and its relationship to differential neurocognitive and clinical outcomes within these groups.,NO,Attention Deficit Hyperactivity Disorder,,Duke University,National Institute of Mental Health (NIMH),OBSERVATIONAL,Observational Model: |Time Perspective: p,2016-08
NCT03597789,Tantrum Tamers 2.0: The Role of Emotion,https://clinicaltrials.gov/study/NCT03597789,COMPLETED,"This study aims to better understand how to best help parents of young children with problem behavior. Problem behaviors vary between and within children, but can include inattention/hyperactivity, tantrums, and/or noncompliance.",YES,Child Behavior|Attention Deficit and Disruptive Behavior Disorders|Problem Behavior,BEHAVIORAL: Helping the Noncompliant Child (HNC),"University of North Carolina, Chapel Hill",National Institute of Mental Health (NIMH),INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-11-01
NCT04167189,Observational Study to Assess the Frequency of Lidocaine Ineffectiveness in Hard-to-treat ADHD,https://clinicaltrials.gov/study/NCT04167189,COMPLETED,This work will assess the prevalence in hard-to-treat ADHD of the ineffectiveness of the anesthetic Lidocaine.,YES,ADHD,DRUG: Lidocaine gel,"PhenoSolve, LLC",NeurAbilities (formerly CRCNJ),INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2018-01-20
NCT01873729,An Open-Label Study of Naltrexone in Adults With Attention Deficit Hyperactivity Disorder.,https://clinicaltrials.gov/study/NCT01873729,COMPLETED,"The primary aim of this study is to assess whether naltrexone as a monotherapy is effective in treating Attention Deficit Hyperactivity Disorder (ADHD) in adults. Medications that increase dopamine are often effective in treating ADHD in adults. Since naltrexone is a kappa opioid receptor antagonist, it increases dopamine in the brain.

We predict that naltrexone as a monotherapy will be effective for ADHD symptoms in adults with ADHD.",YES,Attention Deficit Hyperactivity Disorder,DRUG: Naltrexone,Massachusetts General Hospital,,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-11
NCT01260792,Children and Parents With ADHD and Related Disorders,https://clinicaltrials.gov/study/NCT01260792,COMPLETED,"Almost all rating scales for Attention-Deficit/Hyperactivity Disorder (ADHD) are not validated in France. This clearly hampers the development of the diagnosis and the monitoring of patients but also research in this domain. This study is conceived to collect data in the general population of children aged from 4 to 18 years in public schools in the city of Nice.

Children are pseudo-randomly selected from classes of randomly selected schools in the city of Nice (France). Teachers fill out questionnaires using a dedicated secured website, and ask parents to fill out a similar set of questionnaires regarding their child's behaviour at home. Since ADHD has a strong genetic components, parents are also asked to fill out questionnaires regarding their own behaviour at adulthood and in childhood retrospectively.

Additionally, known factors related to ADHD and other disorders as well as other putative factors are tested in the epidemiologic study.",NO,General Population|TDAH|Children Aged 5 to 18 Years,OTHER: questionnaire|OTHER: Questionnaire,Centre Hospitalier Universitaire de Nice,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-02
NCT03691389,Investigating the Relationship Between Parents and Their Children With ADHD and Conduct Disorder,https://clinicaltrials.gov/study/NCT03691389,UNKNOWN,"This study aims to uncover mechanisms of action underlying any long-term change in youth antisocial behavior by considering the role of child and family characteristics as mediators and moderators of change. The study design is qualitative interviews to be conducted face-to-face with parents of children previously diagnosed with Conduct Disorder and Attention Deficit Hyperactivity Disorder (ADHD) but no longer meet diagnostic criteria. Questions will be asked to understand participants' parenting experience over time (before, during and after their children's treatment).",NO,Observation,,Yale-NUS College,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-02-01
NCT01259492,Efficacy and Safety Study of Methylphenidate Hydrochloride Extended Release in Adults With Childhood-onset Attention Deficit/Hyperactivity Disorder (ADHD),https://clinicaltrials.gov/study/NCT01259492,COMPLETED,This study will evaluate efficacy and safety of methylphenidate hydrochloride extended release compared to placebo in adult patients with childhood-onset attention deficit/hyperactivity disorder (ADHD).,YES,Attention Deficit/Hyperactivity Disorder,DRUG: Placebo|DRUG: Ritalin LA 20 mg|DRUG: Ritalin LA 30 mg,Novartis Pharmaceuticals,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2010-11
NCT02848092,Improving ADHD Teen Driving,https://clinicaltrials.gov/study/NCT02848092,COMPLETED,"Teens with Attention-Deficit/Hyperactivity Disorder (ADHD) have high rates of negative driving outcomes, including motor vehicle crashes, which may be caused by visual inattention (i.e., looking away from the roadway to perform secondary tasks). A driving intervention that trains teens to reduce instances of looking away from the roadway will be tested in teens with ADHD.",YES,Attention Deficit Disorder|Attention Deficit Disorder With Hyperactivity,BEHAVIORAL: FOCAL+|OTHER: Rules of The road,"Children's Hospital Medical Center, Cincinnati","St. Louis University|University of Massachusetts, Amherst",INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2016-12-21
NCT00269789,"A Comparative Effectiveness Study Evaluating OROS Methylphenidate HCl, Ritalin (Methylphenidate HCl), and Placebo for the Treatment of Attention Deficit Hyperactivity Disorder in Children",https://clinicaltrials.gov/study/NCT00269789,COMPLETED,"The purpose of this study is to compare the effectiveness (onset of effect, time to loss of effect, and overall efficacy) of methylphenidate given as an OROSÂ® (methylphenidate HCl) formulation, compared to immediate-release RitalinÂ® and placebo for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in children using standardized attention and behavior scales, and other assessments. Both OROSÂ® Methylphenidate HCl and RitalinÂ® contain the central nervous system stimulant, methylphenidate HCl.",NO,Attention Deficit Hyperactivity Disorder,DRUG: Ritalin|DRUG: OROS Methylphenidate HCl|DRUG: Placebo,"Alza Corporation, DE, USA",,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE|Primary Purpose: TREATMENT,1998-03
NCT00181792,Family Risk Analysis of Substance Use in Attention Deficit Hyperactivity Disorder (ADHD) Youth Treated With Concerta,https://clinicaltrials.gov/study/NCT00181792,COMPLETED,"The researchers will study 100 families over three years, each with a child (proband) between the ages of 12-17, with the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) diagnosis of ADHD. The researchers hypothesize smoking will be familial and ADHD probands with a family history of tobacco use will be at increased risk for early initiation and persistence of smoking, compared to ADHD probands with no family history of tobacco use.",NO,ADHD|Smoking,,Massachusetts General Hospital,,OBSERVATIONAL,Observational Model: |Time Perspective: p,2005-05
NCT04180189,An Intervention With Weighted Blankets for Children With ADHD and Sleep Problems,https://clinicaltrials.gov/study/NCT04180189,COMPLETED,"The aim of the study is to evaluate a sleep intervention with weighted blankets for children with ADHD and sleep problem regarding health-related outcomes, sleep, and cost-effectiveness.

The study is an RCT with cross-over design. The participants will be randomized to start with an active or placebo blanket, and then change blankets during the 16 week study period.",NO,Adhd|Sleep Disturbance,OTHER: Weighted fiber blanket,Halmstad University,,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2020-01-01
NCT05551689,FOCUS ADHD Mobile Health App for Adult ADHD Patients,https://clinicaltrials.gov/study/NCT05551689,COMPLETED,"The study is a randomized clinical trial to evaluate the efficacy on treatment adherence, performance and usability of the mobile health solution FOCUS ADHD, in combination with a discount application in the purchase of psychostimulant medication by adult patients with ADHD",NO,ADHD,DRUG: Psychostimulant|DEVICE: FOCUS ADHD App,Hospital de Clinicas de Porto Alegre,University of Sao Paulo,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE",2021-05-21
NCT04978792,Does Cultivating Self-compassion Improve Resilience to Criticism and Improve Mental Health in Adults With ADHD?,https://clinicaltrials.gov/study/NCT04978792,ACTIVE_NOT_RECRUITING,"This study aims to investigate the effect that increasing levels of self-compassion may have on levels of perceived criticism, self-criticism, and mental health of adults with ADHD. A secondary aim of the study is to capture how feasible using an online self-guided self-compassion practice maybe with people with ADHD.

Research Questions

1. Does a short self-guided self-compassion intervention increase levels of state and/or trait self-compassion in adults with ADHD over time?
2. Are changes in state and/or trait self-compassion associated with changes in levels of self-criticism or perceived criticism?
3. Are changes in state and/or trait self-compassion associated with improvements in mental health?
4. Are changes in mental health mediated by changes in self-criticism or perceived criticism?",NO,ADHD|Depression|Stress|Self-Criticism|Anxiety|Wellbeing|Self-compassion,BEHAVIORAL: Online self-compassion intervention|BEHAVIORAL: Active Control,University of Sheffield,,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2021-09-23
